,CASUSXAM@USECON
.desc,"S&P CoreLogic Case-Shiller Home Price Index: US National (SA, Jan-00=100)"
.source,Standard & Poor's
.dtlm,Tue Mar 28 2023 09:04:42 GMT-0400 (Eastern Daylight Time)
.frq,Month
JAN 1975,25.34
FEB 1975,25.38
MAR 1975,25.38
APR 1975,25.35
MAY 1975,25.35
JUN 1975,25.40
JUL 1975,25.53
AUG 1975,25.69
SEP 1975,25.92
OCT 1975,26.12
NOV 1975,26.33
DEC 1975,26.48
JAN 1976,26.69
FEB 1976,26.77
MAR 1976,26.94
APR 1976,27.12
MAY 1976,27.35
JUN 1976,27.48
JUL 1976,27.70
AUG 1976,27.89
SEP 1976,28.09
OCT 1976,28.22
NOV 1976,28.42
DEC 1976,28.71
JAN 1977,28.99
FEB 1977,29.34
MAR 1977,29.69
APR 1977,30.15
MAY 1977,30.45
JUN 1977,30.71
JUL 1977,31.00
AUG 1977,31.31
SEP 1977,31.73
OCT 1977,32.18
NOV 1977,32.57
DEC 1977,32.92
JAN 1978,33.29
FEB 1978,33.67
MAR 1978,34.07
APR 1978,34.43
MAY 1978,34.82
JUN 1978,35.37
JUL 1978,35.85
AUG 1978,36.32
SEP 1978,36.73
OCT 1978,37.13
NOV 1978,37.58
DEC 1978,38.08
JAN 1979,38.63
FEB 1979,39.14
MAR 1979,39.59
APR 1979,40.02
MAY 1979,40.47
JUN 1979,40.97
JUL 1979,41.40
AUG 1979,41.80
SEP 1979,42.19
OCT 1979,42.62
NOV 1979,42.99
DEC 1979,43.31
JAN 1980,43.58
FEB 1980,43.86
MAR 1980,44.18
APR 1980,44.49
MAY 1980,44.73
JUN 1980,44.97
JUL 1980,45.25
AUG 1980,45.49
SEP 1980,45.76
OCT 1980,46.01
NOV 1980,46.27
DEC 1980,46.52
JAN 1981,46.72
FEB 1981,46.94
MAR 1981,47.16
APR 1981,47.47
MAY 1981,47.72
JUN 1981,47.99
JUL 1981,48.20
AUG 1981,48.42
SEP 1981,48.56
OCT 1981,48.69
NOV 1981,48.78
