,0
five-year 2001-05,35.76011691797547
five-year 2001-06,36.308178869189256
five-year 2001-07,36.831948274634364
five-year 2001-08,37.328659882042835
five-year 2001-09,37.80699529689207
five-year 2001-10,38.27221538351799
five-year 2001-11,38.732499427105495
five-year 2001-12,39.111278002375485
five-year 2002-01,39.44602249520982
five-year 2002-02,39.837240634754224
five-year 2002-03,40.30037614854047
five-year 2002-04,40.722379464651134
five-year 2002-05,41.094229921188834
five-year 2002-06,41.43360942400838
five-year 2002-07,41.749079353531144
five-year 2002-08,42.04327701050297
five-year 2002-09,42.33381627433194
five-year 2002-10,42.59648696823562
five-year 2002-11,42.99951261543265
five-year 2002-12,43.39240938750135
five-year 2003-01,43.573263692384586
five-year 2003-02,43.62538032369764
five-year 2003-03,43.80738872606071
five-year 2003-04,44.012881260368005
five-year 2003-05,44.2614003010028
five-year 2003-06,44.57818087218286
five-year 2003-07,44.96467442584381
five-year 2003-08,45.380971615601275
five-year 2003-09,45.813284247843086
five-year 2003-10,46.217903644959975
five-year 2003-11,46.556677710078866
five-year 2003-12,46.754744765993465
five-year 2004-01,46.89544350773701
five-year 2004-02,47.136876207576506
five-year 2004-03,47.554395381276834
five-year 2004-04,48.08249298567263
five-year 2004-05,48.733519878895336
five-year 2004-06,49.51166503999252
five-year 2004-07,50.3737568491223
five-year 2004-08,51.241106533205155
five-year 2004-09,52.09484393630353
five-year 2004-10,52.88972000689205
five-year 2004-11,53.56845996720528
five-year 2004-12,54.0826895995399
five-year 2005-01,54.451019283811505
five-year 2005-02,54.77126623058126
five-year 2005-03,55.1970360840429
five-year 2005-04,55.72187368122378
five-year 2005-05,56.29475369591289
five-year 2005-06,56.91857375194474
five-year 2005-07,57.566527671134885
five-year 2005-08,58.15227368943384
five-year 2005-09,58.644894539399644
five-year 2005-10,58.99356943461876
five-year 2005-11,59.15965109817419
five-year 2005-12,59.11005282994907
five-year 2006-01,58.884262058936194
five-year 2006-02,58.55733691998619
five-year 2006-03,58.27644120717625
five-year 2006-04,58.018825052687305
